機關名稱,網址,具政府網站資料開放宣告
行政院,http://www.ey.gov.tw/,是
內政部,http://www.moi.gov.tw/,是
外交部,http://www.mofa.gov.tw/,是
國防部,https://www.mnd.gov.tw/,是
財政部,https://www.mof.gov.tw/,是
教育部,http://www.edu.tw/,是
法務部,https://www.moj.gov.tw,是
經濟部,http://www.moea.gov.tw/,是
交通部,http://www.motc.gov.tw/,是
文化部,http://www.moc.gov.tw/,是
衛生福利部,http://www.mohw.gov.tw/,是
勞動部,http://www.mol.gov.tw/,是
科技部,https://www.most.gov.tw/,是
僑務委員會,http://www.ocac.gov.tw/,是
蒙藏委員會,http://www.mtac.gov.tw/,－
國軍退除役官兵輔導委員會,http://www.vac.gov.tw/,是
原住民族委員會,http://www.apc.gov.tw/,是
客家委員會,http://www.hakka.gov.tw/,是
金融監督管理委員會,http://www.fsc.gov.tw/,是
國家發展委員會,http://www.ndc.gov.tw/,是
中央選舉委員會,http://www.cec.gov.tw/,是
國家通訊傳播委員會,http://www.ncc.gov.tw/,是
公平交易委員會,http://www.ftc.gov.tw/,是
行政院環境保護署,http://www.epa.gov.tw/,是
行政院海岸巡防署,http://www.cga.gov.tw/,是
行政院農業委員會,http://www.coa.gov.tw/,是
行政院大陸委員會,http://www.mac.gov.tw/,是
行政院原子能委員會,http://www.aec.gov.tw/,是
行政院公共工程委員會,https://www.pcc.gov.tw,是
行政院主計總處,http://www.dgbas.gov.tw/,是
行政院人事行政總處,http://www.dgpa.gov.tw/,是
中央銀行,http://www.cbc.gov.tw/,是
國立故宮博物院,http://www.npm.gov.tw/,是
基隆市政府,http://www.klcg.gov.tw/,－
臺北市政府,http://www.gov.taipei/,是
新北市政府,http://www.ntpc.gov.tw/,是
桃園市政府,http://www.tycg.gov.tw/,是
新竹市政府,http://www.hccg.gov.tw/,是
新竹縣政府,http://www.hchg.gov.tw/,是
苗栗縣政府,http://www.miaoli.gov.tw/,是
臺中市政府,http://www.taichung.gov.tw/,是
彰化縣政府,http://www.chcg.gov.tw/,是
南投縣政府,http://www.nantou.gov.tw/,是
雲林縣政府,http://www.yunlin.gov.tw/,是
嘉義市政府,http://www.chiayi.gov.tw/,是
嘉義縣政府,http://www.cyhg.gov.tw/,是
臺南市政府,http://www.tainan.gov.tw/,是
高雄市政府,http://www.kcg.gov.tw/,是
屏東縣政府,http://www.pthg.gov.tw/,是
宜蘭縣政府,http://www.e-land.gov.tw/,是
花蓮縣政府,http://www.hl.gov.tw/,－
臺東縣政府,http://www.taitung.gov.tw/,是
澎湖縣政府,http://www.penghu.gov.tw/,是
金門縣政府,http://www.kinmen.gov.tw/,－
連江縣政府,http://www.matsu.gov.tw/,－
